iter	Passed	Remaining
141	29472	178079
142	29638	177623
143	29848	177431
144	30005	176927
145	30241	176892
146	30428	176570
147	30586	176077
148	30771	175746
149	30944	175351
150	31093	174822
151	31262	174409
152	31425	173971
153	31601	173605
154	31770	173202
155	31965	172942
156	32131	172526
157	32334	172313
158	32561	172225
159	32730	171835
160	32953	171724
161	33126	171360
162	33327	171137
163	33511	170828
164	33833	171219
165	34042	171032
166	34243	170806
167	34490	170809
168	34818	171208
169	35009	170929
170	35292	171094
171	35458	170694
172	35615	170255
173	35782	169864
174	35973	169587
175	36150	169249
176	36347	169005
177	36525	168672
178	36675	168214
179	36883	168024
180	37037	167591
181	37203	167210
182	37361	166799
183	37535	166462
184	37704	166105
185	37884	165795
186	38170	165948
187	38370	165725
188	38542	165387
189	38746	165182
190	38931	164900
191	39096	164529
192	39257	164148
193	39557	164347
194	39903	164731
195	40230	165027
196	40537	165237
197	40856	165489
198	41111	165479
199	41615	166460
200	41896	166542
201	42179	166630
202	42603	167266
203	42933	167525
204	43250	167728
205	43550	167859
206	43910	168216
207	44182	168232
208	44460	168267
209	44761	168387
210	45071	168538
211	45271	168274
212	45507	168141
213	45786	168170
214	46204	168699
215	46570	169033
216	46775	168779
217	47047	168768
218	47332	168798
219	47592	168737
220	47868	168729
221	48082	168505
222	48306	168314
223	48609	168396
224	48921	168508
225	49185	168449
226	49402	168228
227	49725	168367
228	50004	168355
229	50203	168071
230	50615	168499
231	50816	168219
232	51107	168239
233	51333	168039
234	51583	167919
235	51854	167869
236	52073	167646
237	52249	167286
238	52420	166913
239	52616	166618
240	52794	166269
241	53096	166310
242	53285	165996
243	53483	165710
244	53751	165641
245	54198	166119
246	54424	165919
247	54643	165691
248	54814	165325
249	55009	165029
250	55188	164687
251	55364	164336
252	55536	163976
253	55732	163686
254	55930	163406
255	56094	163024
256	56279	162707
257	56522	162556
258	56756	162381
259	56957	162108
260	57198	161951
261	57420	161741
262	57672	161614
263	57986	161660
264	58202	161429
265	58401	161152
266	58580	160821
267	58763	160503
268	58998	160325
269	59177	159998
270	59372	159713
271	59602	159523
272	59787	159215
273	60036	159075
274	60204	158721
275	60422	158499
276	60644	158287
277	60886	158129
278	61034	157725
279	61206	157388
280	61396	157096
281	61699	157093
282	61932	156910
283	62108	156584
284	62274	156232
285	62544	156143
286	62814	156052
287	62988	155720
288	63201	155489
289	63365	155135
290	63617	154999
291	63967	155098
292	64180	154866
293	64388	154620
294	64577	154329
295	64939	154451
296	65107	154109
297	65287	153798
298	65487	153533
299	65675	153243
300	65871	152971
301	66042	152641
302	66257	152414
303	66603	152486
304	66823	152269
305	66986	151922
306	67157	151596
307	67329	151272
308	67560	151081
309	67752	150802
310	68083	150834
311	68481	151009
312	68955	151348
313	69173	151123
314	69433	150991
315	69723	150920
316	70027	150879
317	70247	150655
318	70488	150478
319	71005	150887
320	71254	150722
321	71509	150570
322	71887	150673
323	72079	150389
324	72235	150026
325	72428	149745
326	72594	149407
327	72789	149128
328	72997	148879
329	73217	148654
330	73372	148295
331	73598	148084
332	73854	147931
333	74063	147684
334	74294	147480
335	74516	147259
336	74696	146955
337	75070	147031
338	75295	146814
339	75489	146538
340	75711	146317
341	75917	146062
342	76138	145840
343	76321	145542
344	76480	145201
345	76670	144920
346	76863	144645
347	77074	144404
348	77240	144078
349	77505	143937
350	77731	143725
351	78014	143617
352	78219	143366
353	78394	143058
354	78545	142709
355	78800	142548
356	79106	142479
357	79311	142228
358	79500	141949
359	79678	141651
360	79850	141341
361	80149	141258
362	80328	140962
363	80589	140810
364	80775	140528
365	80978	140274
366	81376	140357
367	81615	140165
368	81901	140053
369	82187	139940
370	82379	139667
371	82557	139370
372	82736	139077
373	82966	138869
374	83144	138574
375	83350	138326
376	83523	138023
377	83720	137761
378	83941	137539
379	84196	137373
380	84379	137088
381	84565	136809
382	84773	136567
383	85179	136642
384	85352	136342
385	85632	136213
386	85848	135982
387	86030	135697
388	86211	135411
389	86387	135119
390	86544	134797
391	86727	134516
392	86930	134267
393	87135	134020
394	87372	133824
395	87617	133639
396	87921	133542
397	88109	133270
398	88288	132985
399	88479	132719
400	88805	132654
401	89171	132647
402	89410	132451
403	89602	132185
404	89907	132086
405	90310	132129
406	90946	132509
407	91400	132620
408	91569	132316
409	91903	132251
410	92179	132101
411	92486	131994
412	92703	131760
413	92933	131543
414	93173	131341
415	93344	131041
416	93517	130744
417	93691	130451
418	93908	130217
419	94099	129946
420	94279	129662
421	94474	129398
422	94678	129147
423	94875	128887
424	95035	128577
425	95243	128333
426	95515	128173
427	95862	128114
428	96110	127923
429	96327	127690
430	96482	127374
431	96662	127092
432	96846	126817
433	97024	126534
434	97210	126261
435	97368	125954
436	97526	125645
437	97682	125337
438	97871	125070
439	98066	124811
440	98233	124518
441	98485	124332
442	98784	124205
443	99097	124095
444	99324	123876
445	99571	123682
446	99822	123493
447	100221	123487
448	100456	123277
449	100736	123122
450	101027	122980
451	101294	122808
452	101449	122500
453	101769	122391
454	102051	122238
455	102315	122060
456	102569	121872
457	102888	121759
458	103087	121503
459	103258	121216
460	103510	121024
461	103711	120772
462	103893	120499
463	104058	120205
464	104208	119895
465	104383	119615
466	104528	119301
467	104726	119047
468	104933	118804
469	105120	118539
470	105278	118242
471	105445	117955
472	105594	117649
473	105804	117411
474	105958	117111
475	106124	116826
476	106282	116532
477	106449	116247
478	106603	115950
479	106802	115703
480	106985	115437
481	107177	115181
482	107337	114892
483	107492	114599
484	107660	114320
485	107864	114078
486	108021	113788
487	108175	113495
488	108325	113198
489	108488	112916
490	108641	112624
491	108826	112366
492	109015	112111
493	109180	111832
494	109346	111555
495	109523	111290
496	109694	111018
497	109875	110757
498	110033	110474
499	110193	110193
500	110347	109906
501	110514	109633
502	110724	109403
503	110909	109149
504	111089	108889
505	111261	108622
506	111413	108336
507	111579	108064
508	111728	107777
509	111923	107534
510	112093	107268
511	112255	106993
512	112429	106731
513	112647	106511
514	112847	106274
515	113015	106006
516	113208	105763
517	113368	105489
518	113527	105214
519	113712	104965
520	113880	104699
521	114086	104469
522	114245	104197
523	114421	103940
524	114572	103660
525	114776	103430
526	114948	103170
527	115133	102922
528	115289	102648
529	115458	102387
530	115637	102135
531	115829	101895
532	115979	101618
533	116144	101354
534	116315	101096
535	116476	100830
536	116642	100568
537	116831	100327
538	116995	100064
539	117184	99824
540	117348	99562
541	117511	99299
542	117655	99021
543	117853	98789
544	118016	98527
545	118178	98265
546	118343	98006
547	118510	97749
548	118683	97498
549	118861	97250
550	119051	97012
551	119346	96861
552	119601	96676
553	119845	96482
554	120108	96303
555	120360	96115
556	120516	95850
557	120698	95607
558	120878	95361
559	121102	95152
560	121307	94927
561	121480	94677
562	121642	94419
563	121822	94174
564	121983	93916
565	122154	93666
566	122375	93454
567	122564	93218
568	122726	92961
569	122967	92765
570	123154	92527
571	123317	92272
572	123478	92016
573	123651	91769
574	123842	91535
575	124001	91278
576	124157	91020
577	124333	90776
578	124498	90524
579	124672	90280
580	124864	90048
581	125079	89833
582	125231	89573
583	125411	89334
584	125566	89077
585	125747	88838
586	125918	88593
587	126153	88393
588	126386	88191
589	126575	87958
590	126768	87729
591	127073	87577
592	127421	87454
593	127687	87274
594	127928	87077
595	128280	86955
596	128564	86786
597	128810	86591
598	129295	86556
599	129496	86331
600	129970	86286
601	130355	86181
602	130675	86033
603	130951	85855
604	131167	85638
605	131480	85483
606	131773	85316
607	132036	85128
608	132204	84880
609	132432	84669
610	132684	84474
611	133002	84322
612	133238	84116
613	133470	83907
614	133674	83682
615	133902	83471
616	134263	83343
617	134564	83177
618	134843	82997
619	135147	82832
620	135413	82643
621	135746	82495
622	135969	82280
623	136228	82086
624	136481	81889
625	136670	81652
626	136870	81423
627	137048	81181
628	137249	80952
629	137413	80703
630	137568	80448
631	137744	80205
632	137936	79972
633	138102	79724
634	138267	79476
635	138428	79226
636	138581	78971
637	138766	78735
638	138946	78497
639	139149	78271
640	139319	78027
641	139482	77779
642	139640	77529
643	139837	77301
644	139993	77050
645	140155	76803
646	140311	76553
647	140481	76310
648	140649	76067
649	140853	75843
650	141014	75597
651	141211	75370
652	141368	75122
653	141535	74879
654	141704	74638
655	141899	74410
656	142121	74197
657	142351	73988
658	142548	73761
659	142795	73561
660	142986	73331
661	143195	73112
662	143352	72865
663	143520	72624
664	143722	72401
665	144000	72216
666	144180	71982
667	144461	71798
668	144795	71640
669	145063	71449
670	145318	71251
671	145536	71035
672	145792	70838
673	146346	70784
674	146561	70566
675	146881	70398
676	147190	70225
677	147562	70081
678	147829	69886
679	148076	69683
680	148327	69480
681	148629	69302
682	148843	69082
683	149223	68939
684	149489	68743
685	149685	68514
686	149979	68331
687	150179	68104
688	150373	67875
689	150649	67682
690	150899	67478
691	151112	67258
692	151307	67029
693	151477	66789
694	151798	66616
695	151982	66383
696	152238	66181
697	152470	65968
698	152752	65777
699	153024	65581
700	153375	65419
701	153697	65244
702	153880	65010
703	154050	64771
704	154202	64524
705	154381	64289
706	154545	64047
707	154750	63823
708	154911	63581
709	155075	63340
710	155248	63103
711	155423	62867
712	155590	62629
713	155764	62393
714	155952	62162
715	156123	61925
716	156373	61720
717	156642	61522
718	156859	61304
719	157048	61074
720	157210	60834
721	157499	60643
722	157824	60466
723	158041	60247
724	158290	60041
725	158493	59817
726	158783	59625
727	159125	59453
728	159280	59211
729	159553	59012
730	159847	58822
731	160193	58650
732	160445	58443
733	160660	58223
734	160859	57996
735	161041	57764
736	161228	57534
737	161398	57298
738	161615	57079
739	161908	56886
740	162104	56659
741	162306	56435
742	162468	56197
743	162650	55965
744	162879	55750
745	163085	55527
746	163278	55300
747	163558	55102
748	163899	54925
749	164141	54713
750	164374	54499
751	164692	54313
752	165018	54129
753	165285	53926
754	165465	53694
755	165779	53505
756	165945	53269
757	166113	53033
758	166268	52794
759	166444	52561
760	166597	52321
761	166807	52100
762	166984	51867
763	167284	51674
764	167525	51462
765	167878	51283
766	168158	51083
767	168403	50871
768	168636	50656
769	168960	50468
770	169214	50259
771	169424	50037
772	169664	49823
773	169873	49601
774	170076	49377
775	170271	49150
776	170480	48928
777	170693	48706
778	170932	48492
779	171165	48277
780	171431	48071
781	171740	47876
782	172010	47670
783	172276	47463
784	172520	47250
785	172796	47046
786	173038	46832
787	173301	46624
788	173515	46402
789	173818	46205
790	174119	46006
791	174338	45785
792	174562	45566
793	174763	45341
794	174928	45107
795	175097	44874
796	175265	44641
797	175436	44408
798	175604	44175
799	175847	43961
800	176008	43727
801	176173	43494
802	176358	43266
803	176529	43034
804	176721	42808
805	176881	42574
806	177031	42338
807	177192	42105
808	177343	41869
809	177524	41641
810	177707	41413
811	177932	41196
812	178081	40961
813	178244	40729
814	178409	40497
815	178571	40266
816	178765	40041
817	178927	39810
818	179096	39580
819	179266	39351
820	179415	39117
821	179576	38886
822	179802	38669
823	179979	38442
824	180136	38210
825	180310	37983
826	180533	37765
827	180770	37551
828	180928	37320
829	181231	37119
830	181448	36901
831	181897	36729
832	182206	36528
833	182476	36320
834	182688	36100
835	182907	35881
836	183090	35655
837	183397	35453
838	183632	35238
839	183908	35030
840	184161	34817
841	184453	34612
842	184711	34400
843	184947	34184
844	185202	33971
845	185403	33749
846	185672	33539
847	186011	33341
848	186296	33134
849	186582	32926
850	186837	32713
851	187124	32505
852	187273	32273
853	187444	32045
854	187607	31816
855	187806	31593
856	187976	31366
857	188171	31142
858	188331	30913
859	188505	30686
860	188849	30487
861	189059	30267
862	189308	30052
863	189558	29837
864	189852	29630
865	190043	29406
866	190261	29186
867	190486	28968
868	190833	28767
869	191097	28554
870	191270	28328
871	191483	28107
872	191805	27903
873	192016	27682
874	192264	27466
875	192446	27241
876	192619	27015
877	192876	26800
878	193125	26584
879	193396	26372
880	193625	26153
881	193873	25937
882	194062	25713
883	194246	25489
884	194437	25265
885	194623	25041
886	194804	24817
887	194985	24592
888	195155	24366
889	195326	24141
890	195478	23913
891	195657	23689
892	195869	23469
893	196103	23251
894	196270	23026
895	196434	22800
896	196604	22575
897	196804	22354
898	196968	22128
899	197123	21902
900	197289	21677
901	197449	21452
902	197628	21229
903	197836	21009
904	197999	20784
905	198206	20564
906	198357	20338
907	198523	20114
908	198737	19895
909	198894	19670
910	199050	19446
911	199214	19222
912	199372	18998
913	199534	18774
914	199689	18550
915	199902	18331
916	200052	18107
917	200253	17887
918	200426	17665
919	200601	17443
920	200782	17222
921	200985	17003
922	201241	16788
923	201408	16566
924	201591	16345
925	201776	16124
926	201938	15902
927	202139	15683
928	202301	15461
929	202460	15238
930	202616	15016
931	202812	14797
932	202981	14576
933	203176	14357
934	203329	14135
935	203496	13914
936	203735	13698
937	203896	13477
938	204076	13257
939	204256	13037
940	204410	12816
941	204566	12595
942	204750	12376
943	204991	12160
944	205204	11943
945	205491	11729
946	205791	11517
947	206024	11300
948	206337	11088
949	206552	10871
950	206825	10656
951	207037	10438
952	207249	10221
953	207417	10001
954	207589	9781
955	207810	9564
956	208005	9346
957	208200	9127
958	208353	8907
959	208512	8688
960	208725	8470
961	208910	8252
962	209105	8034
963	209276	7815
964	209442	7596
965	209650	7379
966	209851	7161
967	210063	6944
968	210228	6725
969	210386	6506
970	210548	6288
971	210749	6070
972	210969	5854
973	211247	5639
974	211469	5422
975	211729	5206
976	212010	4991
977	212233	4774
978	212522	4558
979	212903	4344
980	213142	4128
981	213485	3913
982	213772	3696
983	214183	3482
984	214546	3267
985	214822	3050
986	214988	2831
987	215241	2614
988	215480	2396
989	215675	2178
990	215875	1960
991	216150	1743
992	216359	1525
993	216587	1307
994	216923	1090
995	217221	872
996	217481	654
997	217699	436
998	217967	218
999	218288	0
